auc = 0.9114661843030851, eer = 0.14953271028070106
auc = 0.9122694122694123, eer = 0.18253968253833353
auc = 0.9993939393939394, eer = 0.018181818181124555
auc = 0.5281673679289387, eer = 0.48387096774154315
auc = 0.4754203568219741, eer = 0.5283018867924532
auc = 0.9848749272833043, eer = 0.05235602094310319
auc = 0.6779428571428571, eer = 0.3828571428562061
auc = 0.897631473303894, eer = 0.21276595744597493
auc = 0.9185855263157894, eer = 0.17763157894736864
auc = 0.4511904761904762, eer = 0.5666666666666667
auc = 0.4200721153846154, eer = 0.4687500000010506
auc = 0.40714051752374714, eer = 0.5070422535217786
auc = 0.9803321678321678, eer = 0.05128205128217362
auc = 0.9803321678321678, eer = 1.8189894035458565e-12
auc = 0.7733750434480362, eer = 0.2773722627735884
auc = 0.9239176124422026, eer = 0.14754098360636497
auc = 0.0063968849951328045, eer = 0.9477124183007215
auc = 0.3307148468185389, eer = 0.6390977443608401
auc = 0.9157333333333334, eer = 0.08800000000002457
auc = 0.8519747759707932, eer = 0.26086956521739135
auc = 0.5119607843137255, eer = 0.4705882352930533
auc = 0.4417270531400967, eer = 0.5092592592592592
auc = 0.1873116335141652, eer = 0.6962025316465146
auc = 0.9736233711643548, eer = 0.05128205128164614
auc = 0.7749399038461539, eer = 0.32291666666711083
auc = 0.5922459893048128, eer = 0.42424242424218034
auc = 0.9587020648967551, eer = 0.07079646017776506
auc = 0.2663261217948718, eer = 0.7019230769230805
auc = 0.7180829228243021, eer = 0.3706896551724272
auc = 1.0, eer = 0.0
auc = 0.9916666666666666, eer = 0.049999999999999815
auc = 0.9150235211690522, eer = 0.19587628865979378
auc = 0.9092212135690396, eer = 0.10256410256410259
auc = 0.27879485301809814, eer = 0.6859504132238747
auc = 0.8747826086956522, eer = 0.26086956521805343
auc = 0.9228221597751908, eer = 0.13829787234105684
