,result,score
0,anomaly,0.9774922715821117
1,anomaly,0.9804398056713985
2,anomaly,0.9801606299816474
3,anomaly,0.9802717383513113
4,anomaly,0.9777243172948511
5,anomaly,0.9724924357759744
6,anomaly,0.9759788597256933
7,anomaly,0.9746300100206257
8,anomaly,0.970138015924701
9,anomaly,0.9692959961926132
10,anomaly,0.9695160054194903
11,anomaly,0.9721040699750768
12,anomaly,0.9775627941084031
13,anomaly,0.9712825031201706
14,anomaly,0.9694294956160792
15,anomaly,0.9754017264619339
16,anomaly,0.9742125839769316
17,anomaly,0.9801201877504587
18,anomaly,0.980600705115073
19,anomaly,0.9818414460703084
20,anomaly,0.9855151559845193
21,anomaly,0.9874705729534363
22,anomaly,0.9863934912848766
23,anomaly,0.9896861521987471
24,anomaly,0.9869443396104324
25,anomaly,0.986621330758835
26,anomaly,0.9858602153229064
27,anomaly,0.990704151421156
28,anomaly,0.9844985253549001
29,anomaly,0.9821290151122198
30,anomaly,0.9824599583518409
31,anomaly,0.9824636140281312
32,anomaly,0.9783904644559005
33,anomaly,0.9752214790004982
34,anomaly,0.9714986325900149
35,anomaly,0.9802441339606102
36,anomaly,0.9821298330159436
37,anomaly,0.9837705639466172
38,anomaly,0.9810808887961614
39,anomaly,0.9791573307545569
40,anomaly,0.9819104138025779
41,anomaly,0.9835905195051899
42,anomaly,0.971663657338351
43,anomaly,0.9719357308225722
44,anomaly,0.9698318250510501
45,anomaly,0.9698270850121213
46,anomaly,0.9747133884485909
47,anomaly,0.9740975196146063
48,anomaly,0.9725973104400227
49,anomaly,0.9728321014550046
50,anomaly,0.9740315791498877
51,anomaly,0.9746721771150298
52,anomaly,0.9743368036480087
53,anomaly,0.9752541194236982
54,anomaly,0.9739130991001053
55,anomaly,0.9753972656485325
56,anomaly,0.9796013727004299
57,anomaly,0.9779330148745085
58,anomaly,0.979163450875341
59,anomaly,0.9793873314127615
60,anomaly,0.9738173025974224
61,anomaly,0.974262717893547
62,anomaly,0.9742481204397792
63,anomaly,0.9753214529027016
64,anomaly,0.973020029027731
65,anomaly,0.9683735819472004
66,anomaly,0.9712542200050768
67,anomaly,0.9697319395457085
68,anomaly,0.9719709217402513
69,anomaly,0.9707201880183893
70,anomaly,0.9704091222933044
71,anomaly,0.9739681422209718
72,anomaly,0.9773472369342115
73,anomaly,0.979892336099577
74,anomaly,0.9862062828994945
75,anomaly,0.9794695207624278
76,anomaly,0.980896300337151
77,anomaly,0.9789862093706636
78,anomaly,0.9786469902683969
79,anomaly,0.9749750829485015
80,anomaly,0.9707662427957792
81,anomaly,0.9713751891364436
82,anomaly,0.9771141663848298
83,anomaly,0.9707626802108115
84,anomaly,0.9694173232548521
85,anomaly,0.9694150892075031
86,anomaly,0.9745744329977514
87,anomaly,0.9789501722038056
88,anomaly,0.9792817580483631
89,anomaly,0.9803011706623467
90,anomaly,0.9869828501360383
91,anomaly,0.9944902969882897
92,anomaly,0.9943598873716778
93,anomaly,0.9898211186036213
94,anomaly,0.9900085939655022
95,anomaly,0.9856366977104191
96,anomaly,0.9785896574753298
97,anomaly,0.9759605219435036
98,anomaly,0.9666394869765308
99,anomaly,0.9669241150785686
100,anomaly,0.9656169777215996
101,anomaly,0.9621116140062259
102,anomaly,0.9596162766361892
103,anomaly,0.9657979596999429
104,anomaly,0.9608432900070869
105,anomaly,0.9665401216851389
106,anomaly,0.9669475916297241
107,anomaly,0.9706545024057633
108,anomaly,0.9714066118566567
109,anomaly,0.9771784922307931
110,anomaly,0.9761647384093705
111,anomaly,0.9789118528921855
112,anomaly,0.9771842062060783
113,anomaly,0.9740128137404797
114,anomaly,0.9776512732639313
115,anomaly,0.9821008535508335
116,anomaly,0.9829920920058925
117,anomaly,0.9794747395430818
118,anomaly,0.9776296990734907
119,anomaly,0.9756157526958505
120,anomaly,0.9782010414168182
121,anomaly,0.9748431529765585
122,anomaly,0.9730434347895794
123,anomaly,0.9709585294277118
124,anomaly,0.9755734938862555
125,anomaly,0.9769997118330105
