,score
0,1.0
1,0.999626046399943
2,0.9989452921672732
3,0.9968619040635956
4,0.9942868906862443
5,0.9914222581126039
6,0.9891406078655323
7,0.9875589137156453
8,0.9866202776412158
9,0.9852378076924951
10,0.9838935881585672
11,0.982542306746014
12,0.9811459582267035
13,0.9793896148915121
14,0.9776916967000875
15,0.9762764870018359
16,0.9753800038264486
17,0.9746282728318402
18,0.9754305843738551
19,0.976664057146709
20,0.9787198639142927
21,0.9807492579012108
22,0.983315721515793
23,0.9859782478653307
24,0.9891024091149149
25,0.9901395607584014
26,0.9911362481428665
27,0.9916896883710259
28,0.9918952976686911
29,0.9915932748612645
30,0.991480782147459
31,0.990745560495109
32,0.990094216138125
33,0.9908124392249441
34,0.9902758656737252
35,0.9900192674898052
36,0.9894225770705161
37,0.988576673287941
38,0.9879785970113061
39,0.9876911589242693
40,0.9877065013311258
41,0.9884863390339558
42,0.9891499019275544
43,0.9894659407897692
44,0.9901166521189398
45,0.9901314081102708
46,0.9905735530991001
47,0.9911141939783159
48,0.9908469249267213
49,0.9906176092858996
50,0.990003607514944
51,0.9888852706281913
52,0.9874711562177323
53,0.9865439199440456
54,0.9856250173340779
55,0.9843935300665182
56,0.9835146273864545
57,0.9822410485536742
58,0.981176363105971
59,0.9804951259258999
60,0.9790584315839274
61,0.9779845409839463
62,0.9778661854149263
63,0.9778370393779924
64,0.9780786273366017
65,0.9785460594037276
66,0.9790250344378717
67,0.9794312051255023
68,0.9800835166286757
69,0.9802217354102386
70,0.9809128400608651
71,0.9815766441380452
72,0.9820253607743851
73,0.9825763419565201
74,0.9836103986371644
75,0.9842440224407363
76,0.9845288245732164
77,0.9841740391541705
78,0.9841037171594825
79,0.9841477851983007
80,0.9843380500464012
81,0.9843153346206662
82,0.9835480416202428
83,0.9833897244929375
84,0.9834346215590517
85,0.98337419115551
86,0.9831923361324555
87,0.9830390163658248
88,0.9833538715179514
89,0.9841104280266562
90,0.9840786941639208
91,0.9837786520959769
92,0.9834588400791351
93,0.9830914038654867
94,0.9828309823345468
95,0.9823879493059958
96,0.9819211375997716
97,0.9815962156261794
98,0.9816602090000017
99,0.9820795588518859
100,0.9825603227123771
101,0.9829984121609656
102,0.9832138698868474
103,0.98347134636186
104,0.9837756134853775
105,0.9840720214472874
106,0.9839498695612076
107,0.9836931191663706
108,0.9841015053400172
109,0.9849469913167531
110,0.9860377665427801
111,0.9867562616556712
112,0.9867061240648849
113,0.9865349389292064
114,0.9865007510600856
115,0.986461514467258
116,0.9865285715237502
117,0.9863950074776144
118,0.9863572610048785
119,0.9867641823734589
120,0.9870408297180037
121,0.9868340463198209
122,0.9868121349522145
123,0.9862348393881899
124,0.9856212887549848
125,0.9853602251355557
126,0.9856753521490711
127,0.9863671625092424
128,0.9872427276790349
129,0.988168514104914
130,0.9892876102875733
131,0.9900160150421772
132,0.9904376853091704
133,0.9904617644600523
134,0.9904801981911314
135,0.9902632568675648
136,0.989938956165454
137,0.9899832517419429
138,0.9896409645613313
139,0.9894739106682605
140,0.9891782454499174
141,0.9887699368158664
142,0.988432071520918
143,0.9883547701490266
144,0.9878014347569246
145,0.98812644731889
146,0.9883875453671312
147,0.9886150204673638
148,0.9887148079163784
149,0.9887748526851705
150,0.9888863166764343
151,0.9894094389543713
152,0.9897858304926057
153,0.9900030160666745
154,0.9901696999626817
155,0.9902826880323301
156,0.9905279548080373
157,0.990610017005325
158,0.9902368990133683
159,0.9895436050024352
160,0.9891573167310254
161,0.9889583618786199
162,0.9886034496795255
163,0.9882518801473501
164,0.9879253790903189
165,0.9878334059523082
166,0.988259863193133
167,0.9885684792785441
168,0.9882518990164858
169,0.9881690560883244
170,0.9878538725761691
171,0.987396192186093
172,0.9867346128713718
173,0.9858329483750303
174,0.9856284195576479
175,0.9854959521383255
176,0.9856345375901644
177,0.9861765693389826
178,0.9864519391142677
179,0.9868021183442734
180,0.9872003915071045
181,0.9867370752764628
182,0.9864145688426188
183,0.9857554659026596
184,0.9849332060603362
185,0.9846293340901153
186,0.9843145177782783
187,0.9841032118010934
188,0.9840909750748047
189,0.9839964499281995
190,0.9839920770407116
191,0.9838609202981965
192,0.9836074587946783
193,0.9839035829525541
194,0.9841754442802493
195,0.9843449495359187
196,0.9847567696869196
197,0.9847212660713237
198,0.9849516307698855
199,0.9847904227223612
200,0.9846284086862198
201,0.9845824871035993
202,0.9843972557365823
203,0.9843380618120643
204,0.9843406340012535
205,0.9843427267229208
206,0.9848942624843509
207,0.9852813396971043
208,0.9858207041322659
209,0.986560248495388
210,0.9873757672216495
211,0.9882183213526231
212,0.9891219031287326
213,0.9899971901484893
214,0.990400497901061
215,0.990331164017518
216,0.9901722923922303
217,0.9897342495032225
218,0.989427635259986
219,0.9891628750238841
220,0.9886915356808627
221,0.9886128636311236
222,0.9889301862036921
223,0.9893242050118046
224,0.9894838364034964
225,0.9898627475351609
226,0.9900122849684808
227,0.9904024465899198
228,0.9904306775614848
229,0.9895346517819187
