,score
0,0.9860683997057197
1,0.9860371015750335
2,0.9858127182825315
3,0.9854300704275737
4,0.9843672765703877
5,0.9829015548055675
6,0.9822237012476895
7,0.9812509662534987
8,0.9799652543045689
9,0.9797213312070354
10,0.9797680377541292
11,0.9802602203993164
12,0.9809731581923965
13,0.9813171985826598
14,0.9808998046821438
15,0.9807104973218744
16,0.980514319603086
17,0.9803504519232432
18,0.9808066446028101
19,0.9805516202129577
20,0.9806352334229717
21,0.9809337092607704
22,0.9810243054850277
23,0.9811338056241271
24,0.9794195881649236
25,0.9786639272204474
26,0.9789490790360229
27,0.9791536694543397
28,0.9786869112176694
29,0.9784555656149861
30,0.9786557100476715
31,0.9788937676639583
32,0.9788865811439819
33,0.9789646787416434
34,0.978563017062831
35,0.977741310973105
36,0.9767736415794224
37,0.975359551719938
38,0.974684117445933
39,0.9745213017846903
40,0.9748741632202603
41,0.9756153656299784
42,0.9763274679486695
43,0.9777106155717468
44,0.9794145880380768
45,0.9793228189336325
46,0.9794014784293256
47,0.9795065602109392
48,0.9793882424957916
49,0.9785723908785645
50,0.9780143575246802
51,0.9773742241445931
52,0.9764892753142288
53,0.9764064167931339
54,0.9766134717884732
55,0.9769960644719592
56,0.9778003299404373
57,0.9795322234107843
58,0.9807018567620757
59,0.9818034420274201
60,0.9827383395898528
61,0.984144034951712
62,0.9857403773765926
63,0.9875107074719089
64,0.9892779435726567
65,0.9920290324966514
66,0.9947061716004693
67,0.9960982210245389
68,0.996908874717392
69,0.9965231797659047
70,0.9964257824817523
71,0.9964239063035744
72,0.9993827664733315
73,1.0
74,0.9972689348696917
75,0.9998194578530333
