,score
0,0.9306618776086821
1,0.9536446317873958
2,0.933882566889975
3,0.9274487884716608
4,0.9171420940380224
5,0.9174164417376948
6,0.9251816069131559
7,0.9381716605596151
8,0.9215292554343317
9,0.9193336561432278
10,0.9258490010323916
11,0.9497262162559367
12,0.9472179426548543
13,0.9465899497133731
14,0.93245148571216
15,0.9327697373331956
16,0.9312168623779317
17,0.9337777965674838
18,0.9338852942262587
19,0.9390248538916306
20,0.9408016710159677
21,0.9378807056711486
22,0.9538363570013642
23,0.962907248705469
24,0.9637047306008301
25,0.9658260991780832
26,0.9574056812360116
27,0.9552611552352421
28,0.9727670001104323
29,0.9567836583773214
30,0.9487303131840691
31,0.9398900071311894
32,0.9403181771393452
33,0.968126824030444
34,0.9743066047348035
35,0.9753966118595498
36,0.971547230939811
37,0.9664028389890146
38,0.9907001496475448
39,0.9903081568436766
40,0.9611130258735266
41,0.9594602336771542
42,0.9442857423117427
43,0.9401048938942417
44,0.9596424490642279
45,0.9434310793440636
46,0.9237996226225349
47,0.9349813892164424
48,0.9312892723902215
49,0.923391601667156
50,0.9250060634128426
51,0.9061650769578748
52,0.9004126935163306
53,0.8970692779799528
54,0.8932781517335742
55,0.8956604263727185
56,0.9014770491776402
57,0.9031016025115145
58,0.9077764421256773
59,0.906302797904281
60,0.9111675825718024
61,0.9121388764894125
62,0.9113666652362737
63,0.91922780896013
64,0.9233124268074419
65,0.9302078272710331
66,0.9518072383939707
67,0.9449457939149882
68,0.9431137834604669
69,0.9447951679926716
70,0.9407337809327896
71,0.9406714251315675
72,0.9330444812941311
73,0.9182155965081916
74,0.9155678734895834
75,0.9174596777879157
76,0.9167599712800001
77,0.9193665428310129
78,0.9186745175723677
79,0.9258725388216257
80,0.9417466761096384
81,0.9690680375518609
82,0.9679365390070711
83,0.9745109831885154
84,0.9631893441718209
85,0.9566020291337995
86,0.958207801974982
87,0.9349428113579993
88,0.9198640084898841
89,0.9153035323832933
90,0.9026569072198222
91,0.9032309303471899
92,0.924200716690018
93,0.9170813420302096
94,0.9334933463825279
95,0.9314287616680911
96,0.936528792043228
97,0.9559536831842348
98,0.9558183000524056
99,0.9395512935605861
100,0.9380430577722734
101,0.9334006283396101
102,0.9365972640614231
103,0.939593589990731
104,0.9261071944675097
105,0.9282309014686204
106,0.9440044048146128
107,0.9636487240432454
108,0.9540402086334684
109,0.9512175197337962
110,0.9669544114735817
111,0.9646015292234075
112,0.9625202792564123
113,0.948987552672217
114,0.9253919205966098
115,0.9468025852477655
116,0.9467353934853685
117,0.9253523305020814
118,0.9243393710872179
119,0.9463565981964591
120,0.9626630052843779
121,0.9636248266164352
122,0.9632546818302523
123,0.9793775082188827
124,0.9821074099116639
125,0.9869958346067118
126,0.9871519399515699
127,0.9885373989946653
128,0.9874057567240512
129,0.9884018625870004
130,0.967645072356804
131,0.9699668400065644
132,0.9707327887243141
133,0.9660232794346694
134,0.9418819031046511
135,0.9464913908229778
136,0.9229192976921055
137,0.9212235276424522
138,0.9262068150942503
139,0.9279322362804552
140,0.9286764386253407
141,0.9346853935307243
142,0.9504784811637328
143,0.9567593326610309
144,0.9563715809713188
145,0.9518614981799179
146,0.9553831842508542
147,0.946161927206458
148,0.9631742315200046
149,0.9518739222720619
150,0.9458462767401082
151,0.9422042164075608
152,0.9460436603108954
153,0.9436660543190035
154,0.9368715518813967
155,0.9263929788737199
156,0.9161142288209565
157,0.9185211009717009
158,0.9236875362841376
159,0.9280606431207623
160,0.9333180413665115
161,0.9551149892972622
162,0.9449137547182205
163,0.9699265862684014
164,0.9755817993873309
165,0.9753513248834201
166,0.9622563306358696
167,0.9644133159000796
168,0.9576104953777266
169,0.9537332796018058
170,0.9324049296826165
171,0.9276251162790641
172,0.92673296833579
173,1.0
174,0.977924817537137
175,0.8786432679922561
176,0.8953190482570612
177,0.9189218082650799
178,0.9163046853013532
179,0.8797259167481282
